id_x,company_id,year,sales,expenses,operating_profit,opm_percentage,other_income,interest,depreciation,profit_before_tax,tax_percentage,net_profit,eps,dividend_payout,id_y,equity_capital,reserves,borrowings,other_liabilities,total_liabilities,fixed_assets,cwip,investments,other_asset,total_assets,id,operating_activity,investing_activity,financing_activity,net_cash_flow,net_profit_margin,debt_equity,free_cash_flow
360,CANBK,Mar 2013,34070,26198,7217.0,655.0,2,3308,191,3771,22.0,2995,12.0,19.0,439.0,443.0,24733.0,376040.0,18108.0,419324.0,2883.0,1.0,127534.0,288907.0,419324.0,350.0,8010.0,-435.0,-1043.0,6532.0,8.790724977986498,14.93644741023197,7575.0
361,CANBK,Mar 2014,39570,30606,9636.0,-672.0,-2,4144,230,3242,20.0,2672,10.0,19.0,440.0,461.0,29715.0,447913.0,23000.0,501090.0,6661.0,1.0,135445.0,358982.0,501090.0,351.0,14244.0,-380.0,-3771.0,10092.0,6.752590346221885,14.84335233297985,13864.0
362,CANBK,Mar 2015,43813,34133,10302.0,-621.0,-1,4733,429,3683,22.0,2931,11.0,17.0,441.0,475.0,32017.0,499488.0,26578.0,558558.0,6969.0,1.0,152122.0,399466.0,558558.0,352.0,6344.0,-1104.0,-1464.0,3776.0,6.689795266245178,15.37264557429521,5240.0
363,CANBK,Mar 2016,44039,34263,17785.0,-8008.0,-18,5266,172,-2914,-13.0,-2535,-9.0,0.0,442.0,543.0,31867.0,506712.0,24603.0,563725.0,7206.0,0.0,152470.0,404049.0,563725.0,353.0,9346.0,-443.0,-806.0,8096.0,-5.756261495492632,15.63443381672323,8903.0
364,CANBK,Mar 2017,41457,31540,15691.0,-5775.0,-14,7852,331,1746,29.0,1411,5.0,4.0,443.0,597.0,34088.0,534858.0,26615.0,596159.0,7185.0,0.0,162073.0,426901.0,596159.0,354.0,2575.0,-476.0,124.0,2224.0,3.403526545577345,15.420441112873,2099.0
365,CANBK,Mar 2018,41345,29113,25582.0,-13350.0,-32,7398,456,-6408,-36.0,-3873,-11.0,0.0,444.0,733.0,36164.0,563756.0,30781.0,631435.0,8335.0,0.0,157444.0,465657.0,631435.0,355.0,-11120.0,-487.0,2865.0,-8743.0,-9.367517233039061,15.27918258937041,-11607.0
366,CANBK,Mar 2019,47951,32339,27202.0,-11590.0,-24,9907,429,-2111,-99.0,696,2.0,0.0,445.0,753.0,36936.0,640166.0,33928.0,711783.0,8433.0,0.0,168678.0,534672.0,711783.0,356.0,18237.0,-745.0,-1185.0,16307.0,1.451481720923443,16.98548648146674,17492.0
367,CANBK,Mar 2020,49759,35817,26809.0,-12867.0,-26,11799,446,-1514,34.0,-1921,-4.0,0.0,446.0,1030.0,40176.0,668170.0,32064.0,741440.0,8323.0,0.0,192645.0,540472.0,741440.0,357.0,-5289.0,-445.0,7792.0,2059.0,-3.860608131192347,16.21535698684658,-5734.0
368,CANBK,Mar 2021,70253,45182,43437.0,-18367.0,-26,23086,838,3882,30.0,2957,4.0,0.0,447.0,1647.0,60763.0,1060998.0,56132.0,1179540.0,11269.0,2.0,286191.0,882077.0,1179540.0,358.0,59118.0,-1116.0,290.0,58291.0,4.20907292215279,17.00044864605031,58002.0
369,CANBK,Mar 2022,70614,43035,41235.0,-13657.0,-19,23643,841,9145,37.0,6158,7.0,19.0,448.0,1814.0,68147.0,1132626.0,56202.0,1258789.0,11447.0,2.0,311347.0,935992.0,1258789.0,359.0,919.0,-1429.0,4035.0,3525.0,8.720650295975302,16.18939123225797,-510.0
